mlg,cluster,color,type,source,hybrid,A,B,C,D,daysDiseased,daysLesion,propDiseased,propHealthy
109,1,#762a83,unk,unk,unk,0.106953515,0.015456406,0.119574378,0.758015701,0.0625,0.4375,1,0
110,5,#1b7837,unk,unk,unk,0.004355206,0.001229004,0.003495704,0.990920086,0.05902778,0.17708333,1,0
111,1,#762a83,unk,unk,unk,0.00516139,0.001356941,0.004799239,0.98868243,0.05787037,0.25462963,1,0
112,1,#762a83,SR,H,N,0.057973349,0.007846351,0.141442085,0.792738215,0.06965488,0.42003367,1,0
113,3,#d9f0d3,SR,H,N,0.006783937,0.001610236,0.006416829,0.985188998,0.07670455,0.40056818,1,0
114,1,#762a83,SR,H,N,0.044034812,0.006086292,0.050594683,0.899284214,0.45887446,0.50865801,0.66666667,0.33333333
116,5,#1b7837,unk,unk,unk,0.006240271,0.00139228,0.006703614,0.985663835,0.42592593,0.59259259,0.66666667,0.33333333
117,1,#762a83,unk,unk,unk,0.005606992,0.001286746,0.004256778,0.988849485,0.46296296,0.53703704,0.66666667,0.33333333
118,4,#7fbf7b,COO,Birthday,Y,0.012208029,0.626590681,0.010038494,0.351162796,0.43560606,0.42613636,0.66666667,0.33333333
119,3,#d9f0d3,SR,H,N,0.003666582,0.000990102,0.003568641,0.991774675,0.53125,0.625,0.5,0.5
120,5,#1b7837,unk,unk,unk,0.063302006,0.009798872,0.06971432,0.857184803,0.09280303,0.26515152,1,0
121,1,#762a83,COO,KWN,N,0.006137699,0.001193899,0.005644268,0.987024134,0.14042208,0.25027056,1,0
122,3,#d9f0d3,SR,H,N,0.008942635,0.001441874,0.010597018,0.979018474,0.16720779,0.22646104,1,0
123,3,#d9f0d3,unk,unk,unk,0.00730284,0.00123098,0.00746609,0.984000091,0.37268519,0.45138889,0.66666667,0.33333333
124,4,#7fbf7b,COO,KWN,N,0.006158701,0.001108297,0.005212051,0.987520951,0.19805195,0.11688312,1,0
125,3,#d9f0d3,SR,H,N,0.006990932,0.00127662,0.022033906,0.969698541,0.0625,0.125,1,0
126,4,#7fbf7b,COO,Wonderland2,Y,0.003888192,0.001238644,0.009582439,0.985290725,0.18181818,0.27272727,1,0
127,2,#af8dc3,unk,unk,unk,0.003859732,0.000947336,0.003355609,0.991837324,0.53030303,0.47306397,0.66666667,0.33333333
132,5,#1b7837,SR,H,N,0.003946338,0.001005369,0.003373273,0.99167502,0.18181818,0.09090909,1,0
133,4,#7fbf7b,unk,unk,unk,0.006655274,0.001357782,0.005939628,0.986047316,0.16203704,0.11574074,1,0
134,4,#7fbf7b,COO,Jaap,Y,0.007544274,0.064654031,0.004824564,0.92297713,0.07670455,0.41477273,1,0
136,1,#762a83,unk,unk,unk,0.052991773,0.006612613,0.066427294,0.873968321,0.5625,0.53125,0.5,0.5
138,4,#7fbf7b,SR,H,N,0.113962431,0.014677711,0.09731391,0.774045949,0.0625,0.1875,1,0
139,2,#af8dc3,unk,unk,unk,0.096881641,0.01126364,0.054662547,0.837192173,0.37037037,0.61111111,0.66666667,0.33333333
142,4,#7fbf7b,SR,H,Y,0.019662317,0.003825124,0.026789392,0.949723167,0.71428571,0.85714286,0.33333333,0.66666667
143,5,#1b7837,SR,unk,N,0.032541264,0.006747338,0.038646968,0.922064431,0.07142857,0.64285714,1,0
145,3,#d9f0d3,SR,H,Y,0.104897701,0.031444359,0.160520198,0.703137742,0.14285714,0.21428571,1,0
146,4,#7fbf7b,SR,H,N,0.139846183,0.057707197,0.23168046,0.57076616,0.07142857,0.64285714,1,0
